&a 	I1
-0.230	24.1
-0.235	25.1
-0.241	26.1
-0.246	27.2
-0.251	28.4
-0.257	29.6
-0.262	30.9
-0.267	32.0
-0.273	33.3
-0.278	34.3
-0.283	35.4
-0.289	37.1
-0.294	39.1
-0.299	40.8
-0.305	42.3
-0.310	43.8
-0.316	45.2
-0.321	46.6
-0.326	47.8
-0.332	48.9
-0.337	50.0
-0.342	50.8
-0.348	51.5
-0.353	51.8
-0.358	51.9
-0.364	51.9
-0.369	51.8
-0.374	51.8
-0.380	51.4
-0.385	50.9
-0.390	50.0
-0.396	48.8
-0.401	47.6
-0.406	46.2
-0.412	44.4
-0.417	42.4
-0.422	40.4
-0.428	38.1
-0.433	36.0
-0.438	33.6
-0.444	31.2
-0.449	28.8
-0.455	26.7
-0.460	24.5
-0.465	22.4
-0.471	20.4
-0.476	18.8
-0.481	17.3
-0.487	15.7
-0.492	14.2
-0.497	13.0
-0.503	12.2
-0.508	11.4
-0.513	10.9
-0.519	10.5
-0.524	10.0
-0.529	9.6
-0.535	9.0
-0.540	8.4
-0.545	8.0
-0.551	7.6
-0.556	7.2
-0.561	6.8
-0.567	6.6
-0.572	6.4
-0.578	6.1
-0.583	6.0
-0.588	5.9
-0.594	5.8
-0.599	5.6
-0.604	5.6
-0.610	5.2
-0.615	5.2
-0.620	5.0
-0.626	4.9
-0.631	4.8
-0.636	4.8
-0.642	4.7
-0.647	4.7
-0.652	4.5
-0.658	4.4
-0.663	4.4
-0.668	4.4
-0.674	4.4
-0.679	4.4
-0.684	4.4
-0.690	4.4
-0.695	4.4
-0.701	4.4
-0.706	4.4
-0.711	4.4
-0.717	4.4
-0.722	4.4
-0.727	4.4
-0.733	4.4
-0.738	4.4
-0.743	4.4
-0.749	4.4
-0.754	4.4
-0.759	4.4
-0.765	4.4
-0.770	4.4
-0.775	4.5
-0.781	4.5
-0.786	4.7
-0.791	4.8
-0.797	4.8
-0.802	4.8
-0.807	5.0
-0.813	5.2
-0.818	5.6
-0.823	6.0
-0.829	6.4
-0.834	6.5
-0.840	6.9
-0.845	7.2
-0.850	7.6
-0.856	8.4
-0.861	9.0
-0.866	9.8
-0.872	10.6
-0.877	11.7
-0.882	13.0
-0.888	14.7
-0.893	16.7
-0.898	19.1
-0.904	22.0
-0.909	25.2
-0.914	28.9
-0.920	32.6
-0.925	36.7
-0.930	39.6
-0.936	42.5
-0.941	43.8
-0.946	44.9
-0.952	45.7
-0.957	45.7
-0.962	44.8
-0.968	42.5
-0.973	39.3
-0.979	35.5
-0.984	31.1
-0.989	26.7
-0.995	22.6
-1.000	19.1
-1.005	16.2
-1.011	13.8
-1.016	12.0
-1.021	10.6
-1.027	9.4
-1.032	8.5
-1.037	7.7
-1.043	7.2
-1.048	6.8
-1.053	6.4
-1.059	6.0
-1.064	5.6
-1.069	5.3
-1.075	5.2
-1.080	5.0
-1.085	4.8
-1.091	4.6
-1.096	4.5
-1.101	4.4
-1.107	4.4
-1.112	4.4
-1.118	4.4
-1.123	4.4
-1.128	4.4
-1.134	4.4
-1.139	4.4
-1.144	4.4
-1.150	4.4
-1.155	4.4
-1.160	4.4
-1.166	4.4
-1.171	4.4
-1.176	4.5
-1.182	4.8
-1.187	5.0
-1.192	5.2
-1.198	5.6
-1.203	6.0
-1.208	6.2
-1.214	6.6
-1.219	7.0
-1.224	7.6
-1.230	8.4
-1.235	9.2
-1.240	10.5
-1.246	12.1
-1.251	14.4
-1.256	17.2
-1.262	20.6
-1.267	24.7
-1.273	29.3
-1.278	34.2
-1.283	38.7
-1.289	42.4
-1.294	44.4
-1.299	45.1
-1.305	44.1
-1.310	41.6
-1.315	37.3
-1.321	31.9
-1.326	25.9
-1.331	20.7
-1.337	16.5
-1.342	13.6
-1.347	11.3
-1.353	9.7
-1.358	8.4
-1.363	7.6
-1.369	6.8
-1.374	6.4
-1.379	5.9
-1.385	5.5
-1.390	5.1
-1.395	4.8
-1.401	4.5
-1.406	4.4
-1.411	4.4
-1.417	4.4
-1.422	4.4
-1.428	4.4
-1.433	4.4
-1.438	4.4
-1.444	4.4
-1.449	4.4
-1.454	4.4
-1.460	4.4
-1.465	4.4
-1.470	4.6
-1.476	4.8
-1.481	5.2
-1.486	5.4
-1.492	5.7
-1.497	6.1
-1.502	6.5
-1.508	7.2
-1.513	8.0
-1.518	9.1
-1.524	10.7
-1.529	12.7
-1.534	15.9
-1.540	19.6
-1.545	24.4
-1.550	30.0
-1.556	35.7
-1.561	40.4
-1.566	43.3
-1.572	44.1
-1.577	42.6
-1.582	38.8
-1.588	32.9
-1.593	26.2
-1.599	20.5
-1.604	16.1
-1.609	12.8
-1.615	10.3
-1.620	8.5
-1.625	7.2
-1.631	6.4
-1.636	5.9
-1.641	5.5
-1.647	4.9
-1.652	4.6
-1.657	4.4
-1.663	4.4
-1.668	4.4
-1.673	4.4
-1.679	4.4
-1.684	4.4
-1.689	4.4
-1.695	4.4
-1.700	4.4
-1.705	4.4
-1.711	4.4
-1.716	4.5
-1.721	4.8
-1.727	5.2
-1.732	5.6
-1.737	6.0
-1.743	6.4
-1.748	7.2
-1.753	8.4
-1.759	9.8
-1.764	11.8
-1.769	14.3
-1.775	17.7
-1.780	22.5
-1.786	28.7
-1.791	35.5
-1.796	40.7
-1.802	43.4
-1.807	42.3
-1.812	37.6
-1.818	30.5
-1.823	23.6
-1.828	17.9
-1.834	13.9
-1.839	10.9
-1.844	8.9
-1.850	7.5
-1.855	6.6
-1.860	5.8
-1.866	5.2
-1.871	4.8
-1.876	4.4
-1.882	4.4
-1.887	4.4
-1.892	4.2
-1.898	4.2
-1.903	4.1
-1.908	4.1
-1.914	4.1
-1.919	4.1
-1.924	4.1
-1.930	4.3
-1.935	4.6
-1.940	4.9
-1.946	5.3
-1.951	5.9
-1.956	6.7
-1.962	7.8
-1.967	9.2
-1.972	11.4
-1.978	14.2
-1.983	18.6
-1.989	24.4
-1.994	31.7
-1.999	38.8
-2.005	43.5
-2.010	43.1
-2.015	37.8
-2.021	29.9
-2.026	22.3
-2.031	16.4
-2.037	12.4
-2.042	9.6
-2.047	7.7
-2.053	6.5
-2.058	5.7
-2.063	4.9
-2.069	4.5
-2.074	4.4
-2.079	4.4
-2.085	4.3
-2.090	4.2
-2.095	4.1
-2.101	4.1
-2.106	4.1
-2.111	4.1
-2.117	4.1
-2.122	4.3
-2.127	4.6
-2.133	5.0
-2.138	5.5
-2.143	6.3
-2.149	7.2
-2.154	8.6
-2.159	10.5
-2.165	13.3
-2.170	17.6
-2.175	23.9
-2.181	31.9
-2.186	40.0
-2.191	43.6
-2.197	40.7
-2.202	32.6
-2.207	24.2
-2.213	17.4
-2.218	13.1
-2.223	10.2
-2.229	8.2
-2.234	6.7
-2.240	5.6
-2.245	4.8
-2.250	4.4
-2.256	4.3
-2.261	4.2
-2.266	4.1
-2.272	4.1
-2.277	4.0
-2.282	4.0
-2.288	4.0
-2.293	4.0
-2.298	4.2
-2.304	4.6
-2.309	5.0
-2.314	5.7
-2.320	6.5
-2.325	7.7
-2.330	9.5
-2.336	12.0
-2.341	16.0
-2.346	22.0
-2.352	30.3
-2.357	39.1
-2.362	42.9
-2.368	39.0
-2.373	30.6
-2.378	22.6
-2.384	16.4
-2.389	12.3
-2.394	9.5
-2.400	7.6
-2.405	6.4
-2.410	5.6
-2.416	4.8
-2.421	4.4
-2.426	4.3
-2.432	4.2
-2.437	4.1
-2.442	4.1
-2.448	4.0
-2.453	4.0
-2.458	4.1
-2.464	4.5
-2.469	4.9
-2.474	5.6
-2.480	6.4
-2.485	7.4
-2.490	9.0
-2.496	11.3
-2.501	15.2
-2.506	21.6
-2.512	31.0
-2.517	39.8
-2.522	41.3
-2.528	35.0
-2.533	26.2
-2.538	19.0
-2.544	13.9
-2.549	10.4
-2.554	8.1
-2.560	6.7
-2.565	5.6
-2.570	4.9
-2.576	4.5
-2.581	4.4
-2.586	4.1
-2.592	4.1
-2.597	4.1
-2.602	4.1
-2.608	4.1
-2.613	4.2
-2.619	4.5
-2.624	5.3
-2.629	5.8
-2.635	6.7
-2.640	8.2
-2.645	10.6
-2.651	14.7
-2.656	21.7
-2.661	31.8
-2.667	40.4
-2.672	39.6
-2.677	31.5
-2.683	22.7
-2.688	16.0
-2.693	12.0
-2.699	9.2
-2.704	7.3
-2.709	6.1
-2.715	5.2
-2.720	4.8
-2.725	4.4
-2.731	4.2
-2.736	4.1
-2.741	4.1
-2.747	4.0
-2.752	4.0
-2.757	4.1
-2.763	4.4
-2.768	5.0
-2.773	5.8
-2.779	6.8
-2.784	8.7
-2.789	11.6
-2.795	17.0
-2.800	25.8
-2.805	36.0
-2.811	39.5
-2.816	34.0
-2.821	25.3
-2.827	18.0
-2.832	12.8
-2.837	9.6
-2.843	7.5
-2.848	6.0
-2.853	5.2
-2.859	4.6
-2.864	4.2
-2.869	4.0
-2.875	4.0
-2.880	4.0
-2.885	4.0
-2.891	4.0
-2.896	4.1
-2.901	4.6
-2.907	5.2
-2.912	6.1
-2.917	7.7
-2.923	10.3
-2.928	15.0
-2.933	23.2
-2.939	33.7
-2.944	38.2
-2.949	33.6
-2.955	25.2
-2.960	17.9
-2.965	12.8
-2.971	9.6
-2.976	7.6
