&a / 	I1 /
-0.433	36.9
-0.438	35.3
-0.444	33.8
-0.449	32.2
-0.455	30.8
-0.460	29.3
-0.465	27.8
-0.471	26.6
-0.476	25.5
-0.481	24.6
-0.487	23.5
-0.492	22.7
-0.497	21.9
-0.503	21.5
-0.508	21.5
-0.513	21.9
-0.519	22.3
-0.524	22.8
-0.529	23.4
-0.535	23.9
-0.540	24.3
-0.545	24.7
-0.551	25.1
-0.556	25.6
-0.561	26.2
-0.567	27.0
-0.572	27.7
-0.578	28.2
-0.583	28.6
-0.588	28.9
-0.594	28.9
-0.599	28.9
-0.604	28.4
-0.610	27.7
-0.615	26.8
-0.620	25.7
-0.626	24.7
-0.631	24.2
-0.636	23.5
-0.642	22.8
-0.647	22.0
-0.652	21.0
-0.658	19.8
-0.663	18.6
-0.668	17.5
-0.674	16.3
-0.679	15.4
-0.684	14.5
-0.690	13.8
-0.695	13.1
-0.701	12.7
-0.706	12.3
-0.711	12.1
-0.717	11.9
-0.722	11.9
-0.727	11.9
-0.733	12.0
-0.738	12.1
-0.743	12.5
-0.749	12.9
-0.754	13.3
-0.759	14.0
-0.765	14.8
-0.770	15.6
-0.775	16.6
-0.781	17.7
-0.786	18.9
-0.791	20.1
-0.797	21.3
-0.802	22.2
-0.807	22.9
-0.813	23.9
-0.818	25.1
-0.823	26.4
-0.829	27.4
-0.834	27.9
-0.840	27.9
-0.845	27.5
-0.850	27.1
-0.856	26.3
-0.861	25.7
-0.866	25.1
-0.872	24.4
-0.877	23.9
-0.882	23.5
-0.888	23.2
-0.893	23.2
-0.898	23.3
-0.904	24.0
-0.909	25.1
-0.914	26.6
-0.920	28.5
-0.925	31.0
-0.930	33.0
-0.936	35.6
-0.941	37.2
-0.946	38.8
-0.952	40.1
-0.957	40.9
-0.962	41.1
-0.968	40.5
-0.973	39.3
-0.979	37.5
-0.984	35.1
-0.989	32.3
-0.995	29.5
-1.000	27.0
-1.005	25.0
-1.011	23.5
-1.016	22.8
-1.021	22.6
-1.027	22.7
-1.032	23.3
-1.037	24.1
-1.043	25.1
-1.048	26.1
-1.053	26.9
-1.059	27.4
-1.064	27.4
-1.069	26.9
-1.075	25.9
-1.080	24.7
-1.085	23.5
-1.091	22.3
-1.096	20.9
-1.101	19.5
-1.107	17.9
-1.112	16.3
-1.118	14.9
-1.123	13.7
-1.128	12.9
-1.134	12.2
-1.139	11.8
-1.144	11.6
-1.150	11.7
-1.155	11.8
-1.160	12.2
-1.166	13.0
-1.171	14.1
-1.176	15.7
-1.182	17.6
-1.187	19.8
-1.192	21.8
-1.198	23.7
-1.203	25.2
-1.208	26.1
-1.214	26.6
-1.219	26.6
-1.224	26.2
-1.230	25.6
-1.235	24.8
-1.240	24.0
-1.246	23.5
-1.251	23.0
-1.256	22.9
-1.262	23.2
-1.267	24.2
-1.273	26.0
-1.278	28.6
-1.283	31.7
-1.289	34.9
-1.294	37.7
-1.299	39.5
-1.305	40.1
-1.310	39.7
-1.315	38.2
-1.321	35.7
-1.326	32.0
-1.331	28.4
-1.337	25.2
-1.342	23.2
-1.347	22.1
-1.353	22.1
-1.358	22.6
-1.363	23.6
-1.369	24.8
-1.374	25.9
-1.379	26.3
-1.385	26.3
-1.390	25.5
-1.395	24.4
-1.401	23.1
-1.406	21.7
-1.411	19.9
-1.417	17.9
-1.422	15.9
-1.428	14.3
-1.433	13.1
-1.438	12.3
-1.444	11.8
-1.449	11.8
-1.454	12.1
-1.460	12.8
-1.465	13.7
-1.470	15.3
-1.476	17.3
-1.481	19.7
-1.486	21.9
-1.492	24.0
-1.497	25.5
-1.502	26.0
-1.508	26.0
-1.513	25.4
-1.518	24.4
-1.524	23.8
-1.529	23.0
-1.534	22.7
-1.540	22.8
-1.545	23.8
-1.550	25.6
-1.556	28.8
-1.561	32.2
-1.566	35.5
-1.572	38.0
-1.577	39.0
-1.582	38.6
-1.588	36.4
-1.593	32.7
-1.599	28.7
-1.604	25.4
-1.609	23.0
-1.615	22.0
-1.620	21.7
-1.625	22.2
-1.631	23.5
-1.636	24.8
-1.641	26.0
-1.647	25.6
-1.652	24.3
-1.657	22.3
-1.663	20.3
-1.668	18.0
-1.673	16.0
-1.679	14.1
-1.684	12.8
-1.689	11.9
-1.695	11.6
-1.700	11.8
-1.705	12.4
-1.711	13.5
-1.716	15.1
-1.721	17.2
-1.727	19.8
-1.732	22.6
-1.737	24.7
-1.743	25.9
-1.748	26.2
-1.753	25.5
-1.759	24.0
-1.764	22.6
-1.769	21.4
-1.775	21.0
-1.780	21.8
-1.786	23.9
-1.791	27.7
-1.796	32.0
-1.802	36.2
-1.807	38.5
-1.812	38.2
-1.818	35.4
-1.823	30.9
-1.828	26.5
-1.834	23.6
-1.839	21.9
-1.844	21.8
-1.850	22.5
-1.855	23.9
-1.860	25.2
-1.866	25.9
-1.871	25.4
-1.876	23.8
-1.882	21.4
-1.887	18.6
-1.892	15.9
-1.898	13.8
-1.903	12.2
-1.908	11.4
-1.914	11.2
-1.919	11.6
-1.924	12.5
-1.930	14.2
-1.935	16.5
-1.940	19.4
-1.946	22.3
-1.951	24.5
-1.956	25.3
-1.962	25.0
-1.967	24.2
-1.972	23.1
-1.978	21.9
-1.983	21.5
-1.989	22.3
-1.994	25.0
-1.999	29.3
-2.005	34.5
-2.010	38.3
-2.015	38.8
-2.021	35.5
-2.026	30.3
-2.031	25.5
-2.037	22.4
-2.042	20.9
-2.047	20.9
-2.053	21.7
-2.058	23.2
-2.063	24.1
-2.069	24.3
-2.074	22.8
-2.079	20.4
-2.085	17.5
-2.090	14.9
