&a / °	I1 / %
0.187	22.2
0.182	22.5
0.176	22.8
0.171	23.1
0.166	23.3
0.160	23.6
0.155	23.7
0.150	23.9
0.144	24.2
0.139	24.6
0.134	24.8
0.128	25.1
0.123	25.2
0.118	25.5
0.112	25.6
0.107	25.9
0.102	26.0
0.096	26.3
0.091	26.4
0.086	26.5
0.080	26.6
0.075	26.6
0.070	26.6
0.064	26.7
0.059	26.6
0.053	26.7
0.048	26.7
0.043	26.8
0.037	26.8
0.032	26.8
0.027	26.9
0.021	27.0
0.016	27.0
0.011	27.0
0.005	27.1
0.000	27.2
-0.005	27.2
-0.011	27.1
-0.016	27.0
-0.021	27.0
-0.027	26.7
-0.032	26.4
-0.037	25.9
-0.043	25.4
-0.048	24.7
-0.053	24.2
-0.059	23.7
-0.064	23.4
-0.070	23.3
-0.075	23.4
-0.080	23.5
-0.086	23.8
-0.091	24.0
-0.096	23.9
-0.102	23.9
-0.107	23.8
-0.112	23.6
-0.118	23.4
-0.123	23.1
-0.128	22.9
-0.134	22.5
-0.139	22.2
-0.144	21.9
-0.150	21.5
-0.155	21.1
-0.160	20.7
-0.166	20.2
-0.171	19.8
-0.176	19.4
-0.182	19.1
-0.187	18.8
-0.193	18.5
-0.198	18.2
-0.203	18.0
-0.209	17.6
-0.214	17.4
-0.219	17.1
-0.225	16.8
-0.230	16.4
-0.235	16.2
-0.241	15.9
-0.246	15.5
-0.251	15.1
-0.257	14.7
-0.262	14.3
-0.267	13.9
-0.273	13.5
-0.278	13.2
-0.283	13.0
-0.289	12.9
-0.294	12.9
-0.299	12.9
-0.305	13.0
-0.310	13.0
-0.316	13.0
-0.321	13.0
-0.326	13.0
-0.332	13.0
-0.337	13.0
-0.342	13.1
-0.348	13.0
-0.353	13.0
-0.358	13.0
-0.364	13.0
-0.369	12.9
-0.374	12.9
-0.380	12.9
-0.385	12.9
-0.390	13.0
-0.396	13.0
-0.401	13.2
-0.406	13.4
-0.412	13.6
-0.417	14.0
-0.422	14.3
-0.428	14.6
-0.433	14.9
-0.438	15.2
-0.444	15.6
-0.449	15.9
-0.455	16.3
-0.460	16.7
-0.465	17.1
-0.471	17.5
-0.476	17.9
-0.481	18.3
-0.487	18.7
-0.492	19.2
-0.497	19.9
-0.503	20.6
-0.508	21.4
-0.513	22.2
-0.519	23.0
-0.524	23.9
-0.529	25.0
-0.535	26.2
-0.540	27.3
-0.545	28.4
-0.551	29.3
-0.556	30.4
-0.561	31.4
-0.567	32.4
-0.572	33.3
-0.578	34.2
-0.583	35.0
-0.588	35.9
-0.594	36.7
-0.599	37.4
-0.604	37.9
-0.610	38.4
-0.615	38.8
-0.620	39.0
-0.626	39.0
-0.631	38.9
-0.636	38.6
-0.642	38.3
-0.647	38.1
-0.652	37.9
-0.658	37.9
-0.663	37.9
-0.668	38.1
-0.674	38.5
-0.679	39.0
-0.684	40.0
-0.690	40.4
-0.695	41.0
-0.701	41.7
-0.706	42.4
-0.711	43.2
-0.717	43.9
-0.722	44.5
-0.727	45.0
-0.733	45.3
-0.738	45.3
-0.743	44.9
-0.749	44.1
-0.754	43.0
-0.759	41.5
-0.765	39.8
-0.770	38.2
-0.775	36.4
-0.781	34.8
-0.786	33.2
-0.791	32.1
-0.797	31.2
-0.802	30.7
-0.807	30.4
-0.813	30.3
-0.818	30.3
-0.823	30.3
-0.829	30.2
-0.834	30.0
-0.840	29.6
-0.845	29.3
-0.850	28.6
-0.856	27.8
-0.861	26.6
-0.866	25.1
-0.872	23.5
-0.877	21.9
-0.882	20.2
-0.888	18.7
-0.893	17.4
-0.898	16.2
-0.904	15.3
-0.909	14.6
-0.914	14.0
-0.920	13.7
-0.925	13.5
-0.930	13.2
-0.936	13.1
-0.941	13.1
-0.946	13.1
-0.952	13.1
-0.957	13.2
-0.962	13.6
-0.968	14.0
-0.973	14.8
-0.979	15.6
-0.984	16.4
-0.989	17.5
-0.995	18.5
-1.000	19.6
-1.005	20.8
-1.011	22.0
-1.016	23.4
-1.021	24.8
-1.027	27.4
-1.032	28.6
-1.037	29.9
-1.043	31.3
-1.048	32.8
-1.053	34.2
-1.059	35.4
-1.064	36.5
-1.069	37.3
-1.075	37.7
-1.080	37.8
-1.085	37.7
-1.091	37.7
-1.096	37.6
-1.101	37.7
-1.107	38.1
-1.112	38.7
-1.118	39.5
-1.123	40.4
-1.128	41.4
-1.134	42.3
-1.139	43.0
-1.144	43.2
-1.150	42.9
-1.155	41.8
-1.160	40.1
-1.166	38.0
-1.171	35.6
-1.176	33.6
-1.182	31.9
-1.187	30.7
-1.192	29.9
-1.198	29.2
-1.203	28.7
-1.208	28.3
-1.214	27.9
-1.219	27.2
-1.224	26.3
-1.230	25.1
-1.235	23.5
-1.240	21.8
-1.246	19.9
-1.251	18.3
-1.256	17.0
-1.262	15.9
-1.267	15.1
-1.273	14.6
-1.278	14.3
-1.283	14.3
-1.289	14.3
-1.294	14.6
-1.299	15.0
-1.305	15.4
-1.310	16.0
-1.315	16.8
-1.321	17.6
-1.326	18.8
-1.331	20.1
-1.337	21.6
-1.342	23.2
-1.347	25.0
-1.353	26.8
-1.358	28.7
-1.363	30.6
-1.369	33.4
-1.374	34.3
-1.379	35.0
-1.385	35.6
-1.390	35.9
-1.395	36.0
-1.401	36.1
-1.406	36.2
-1.411	36.4
-1.417	36.7
-1.422	36.9
-1.428	37.3
-1.433	37.5
-1.438	37.5
-1.444	37.5
-1.449	37.0
-1.454	35.8
-1.460	34.2
-1.465	32.4
-1.470	30.8
-1.476	29.6
-1.481	28.6
-1.486	27.9
-1.492	27.2
-1.497	26.5
-1.502	25.7
-1.508	24.7
-1.513	23.1
-1.518	21.2
-1.524	19.2
-1.529	17.5
-1.534	15.9
-1.540	14.7
-1.545	13.9
-1.550	13.5
-1.556	13.3
-1.561	13.4
-1.566	13.9
-1.572	14.7
-1.577	15.7
-1.582	17.0
-1.588	18.4
-1.593	20.1
-1.599	21.8
-1.604	23.6
-1.609	25.6
-1.615	27.6
-1.620	29.7
-1.625	31.7
-1.631	33.6
-1.636	35.0
-1.641	35.9
-1.647	36.1
-1.652	35.8
-1.657	35.6
-1.663	35.6
-1.668	36.0
-1.673	36.5
-1.679	37.2
-1.684	37.8
-1.689	38.0
-1.695	37.6
-1.700	36.4
-1.705	34.1
-1.711	30.8
-1.716	29.2
-1.721	27.8
-1.727	26.7
-1.732	25.9
-1.737	25.0
-1.743	24.1
-1.748	22.8
-1.753	21.2
-1.759	19.2
-1.764	17.6
-1.769	16.1
-1.775	15.3
-1.780	14.7
-1.786	14.7
-1.791	14.8
-1.796	15.4
-1.802	16.1
-1.807	17.2
-1.812	18.4
-1.818	19.9
-1.823	21.5
-1.828	23.2
-1.834	25.2
-1.839	27.2
-1.844	29.2
-1.850	31.2
-1.855	32.9
-1.860	34.3
-1.866	34.9
-1.871	34.9
-1.876	34.5
-1.882	34.3
-1.887	34.4
-1.892	34.9
-1.898	35.3
-1.903	35.8
-1.908	35.6
-1.914	34.5
-1.919	32.5
-1.924	30.2
-1.930	28.1
-1.935	26.5
-1.940	25.3
-1.946	24.5
-1.951	23.6
-1.956	22.4
-1.962	20.8
-1.967	19.1
-1.972	17.5
-1.978	16.2
-1.983	15.3
-1.989	15.0
-1.994	15.1
-1.999	15.6
-2.005	16.4
-2.010	17.5
-2.015	18.7
-2.021	20.3
-2.026	21.9
-2.031	23.8
-2.037	25.8
-2.042	27.9
-2.047	30.0
-2.053	33.0
-2.058	33.7
-2.063	34.0
-2.069	33.9
-2.074	33.7
-2.079	33.6
-2.085	33.9
-2.090	34.4
-2.095	34.8
-2.101	34.7
-2.106	33.7
-2.111	31.8
-2.117	29.3
-2.122	26.9
-2.127	25.1
-2.133	23.6
-2.138	22.4
-2.143	21.4
-2.149	20.1
-2.154	18.5
-2.159	16.8
-2.165	15.4
-2.170	14.6
-2.175	14.3
-2.181	14.7
-2.186	15.5
-2.191	16.4
-2.197	17.6
-2.202	19.2
-2.207	20.8
-2.213	22.7
-2.218	24.7
-2.223	26.9
-2.229	29.0
-2.234	30.8
-2.240	32.1
-2.245	32.7
-2.250	32.7
-2.256	32.5
-2.261	32.5
-2.266	32.6
-2.272	32.8
-2.277	32.8
-2.282	32.0
-2.288	30.4
-2.293	28.0
-2.298	26.0
-2.304	24.4
-2.309	23.2
-2.314	22.3
-2.320	21.3
-2.325	19.9
-2.330	18.3
-2.336	17.1
-2.341	16.3
-2.346	15.9
-2.352	16.1
-2.357	16.6
-2.362	17.4
-2.368	18.5
-2.373	19.8
-2.378	21.4
-2.384	23.2
-2.389	25.1
-2.394	28.2
-2.400	29.4
-2.405	30.6
-2.410	31.1
-2.416	31.1
-2.421	30.7
-2.426	30.6
-2.432	30.8
-2.437	31.0
-2.442	30.9
-2.448	30.0
-2.453	28.1
-2.458	25.9
-2.464	23.9
-2.469	22.3
-2.474	21.2
-2.480	20.2
-2.485	19.1
-2.490	17.9
-2.496	16.7
-2.501	16.0
-2.506	16.0
-2.512	16.4
-2.517	16.9
-2.522	17.8
-2.528	19.0
-2.533	20.5
-2.538	22.1
-2.544	23.8
-2.549	25.8
-2.554	27.7
-2.560	29.1
-2.565	30.1
-2.570	30.3
-2.576	30.2
-2.581	30.1
-2.586	30.0
-2.592	30.1
-2.597	29.8
-2.602	28.8
-2.608	27.1
-2.613	25.0
-2.619	23.3
-2.624	22.0
-2.629	20.9
-2.635	19.9
-2.640	18.7
-2.645	17.5
-2.651	16.7
-2.656	16.4
-2.661	16.8
-2.667	17.4
-2.672	18.4
-2.677	19.6
-2.683	21.1
-2.688	22.5
-2.693	24.3
-2.699	26.1
-2.704	27.7
-2.709	28.8
-2.715	29.2
-2.720	28.9
-2.725	28.5
-2.731	28.2
-2.736	28.1
-2.741	27.7
-2.747	26.7
-2.752	25.1
-2.757	23.1
-2.763	21.2
-2.768	20.1
-2.773	19.0
-2.779	18.2
-2.784	17.1
-2.789	16.1
-2.795	15.7
-2.800	15.7
-2.805	16.3
-2.811	17.3
-2.816	18.5
-2.821	20.0
-2.827	21.6
-2.832	23.2
-2.837	24.8
-2.843	26.4
-2.848	27.6
-2.853	28.1
-2.859	28.0
-2.864	27.7
-2.869	27.3
-2.875	27.1
-2.880	26.6
-2.885	25.5
-2.891	23.9
-2.896	22.0
-2.901	20.4
-2.907	19.4
-2.912	18.5
-2.917	17.7
-2.923	16.9
-2.928	16.4
-2.933	16.4
-2.939	16.8
-2.944	17.5
-2.949	18.7
-2.955	20.0
-2.960	21.6
-2.965	23.1
-2.971	24.5
-2.976	25.7
-2.981	26.7
-2.987	27.1
-2.992	26.9
-2.997	26.5
-3.003	26.1
-3.008	25.7
-3.013	25.0
-3.019	23.8
-3.024	22.1
-3.029	20.6
-3.035	19.3
-3.040	18.3
-3.045	17.5
-3.051	16.6
-3.056	15.9
-3.061	15.6
-3.067	15.9
-3.072	16.5
-3.077	17.7
-3.083	18.6
-3.088	19.9
-3.093	21.4
-3.099	22.8
-3.104	23.9
-3.109	24.5
-3.115	24.7
-3.120	24.5
-3.125	24.3
-3.131	24.1
-3.136	23.6
-3.141	22.7
-3.147	21.1
-3.152	19.5
-3.157	18.2
-3.163	17.1
-3.168	16.0
-3.173	15.1
-3.179	14.2
-3.184	13.8
-3.189	13.8
-3.195	14.3
-3.200	15.2
-3.205	16.3
-3.211	17.5
-3.216	18.8
-3.221	20.1
-3.227	21.3
-3.232	21.8
-3.237	21.9
-3.243	21.7
-3.248	21.5
-3.253	21.4
-3.259	20.9
-3.264	19.7
-3.269	18.2
-3.275	16.7
-3.280	15.5
-3.285	14.3
-3.291	13.5
-3.296	12.6
-3.301	12.0
-3.306	11.7
-3.312	12.0
-3.317	12.6
-3.322	13.7
-3.328	14.9
-3.333	16.1
-3.338	17.3
-3.344	18.4
-3.349	19.1
-3.354	19.2
-3.360	19.1
-3.365	18.9
-3.370	18.6
-3.376	18.0
-3.381	17.2
-3.386	16.0
-3.392	14.6
-3.397	13.5
-3.402	12.6
-3.408	11.8
-3.413	10.8
