&a / 	I1 / 
0.727	21.5
0.722	20.1
0.717	18.8
0.711	17.6
0.706	16.6
0.701	15.7
0.695	14.8
0.690	14.1
0.684	13.0
0.679	12.5
0.674	12.0
0.668	11.4
0.663	11.0
0.658	10.5
0.652	10.1
0.647	9.7
0.642	9.3
0.636	9.0
0.631	8.7
0.626	8.4
0.620	8.2
0.615	7.9
0.610	7.8
0.604	7.5
0.599	7.4
0.594	7.2
0.588	7.2
0.583	7.0
0.578	7.0
0.572	6.9
0.567	6.9
0.561	6.8
0.556	6.8
0.551	6.7
0.545	6.7
0.540	6.6
0.535	6.6
0.529	6.5
0.524	6.5
0.519	6.4
0.513	6.4
0.508	6.4
0.503	6.4
0.497	6.4
0.492	6.4
0.487	6.4
0.481	6.4
0.476	6.4
0.471	6.4
0.465	6.4
0.460	6.4
0.455	6.4
0.449	6.4
0.444	6.4
0.438	6.4
0.433	6.4
0.428	6.4
0.422	6.4
0.417	6.4
0.412	6.4
0.406	6.4
0.401	6.4
0.396	6.5
0.390	6.5
0.385	6.6
0.380	6.6
0.374	6.7
0.369	6.8
0.364	6.8
0.358	6.8
0.353	6.8
0.348	6.8
0.342	7.2
0.337	7.2
0.332	7.3
0.326	7.3
0.321	7.4
0.316	7.5
0.310	7.6
0.305	7.6
0.299	7.7
0.294	7.7
0.289	7.8
0.283	8.0
0.278	8.2
0.273	8.3
0.267	8.4
0.262	8.4
0.257	8.5
0.251	8.5
0.246	8.8
0.241	8.9
0.235	9.2
0.230	9.2
0.225	9.2
0.219	9.2
0.214	9.4
0.209	9.5
0.203	9.7
0.198	9.9
0.193	10.0
0.187	10.0
0.182	10.0
0.176	10.0
0.171	10.2
0.166	10.3
0.160	10.5
0.155	10.6
0.150	10.7
0.144	10.8
0.139	10.9
0.134	11.0
0.128	11.0
0.123	11.1
0.118	11.1
0.112	11.2
0.107	11.2
0.102	11.2
0.096	11.2
0.091	11.3
0.086	11.4
0.080	11.5
0.075	11.6
0.070	11.6
0.064	11.7
0.059	11.7
0.053	11.7
0.048	11.7
0.043	11.7
0.037	11.7
0.032	11.8
0.027	11.7
0.021	11.7
0.016	11.6
0.011	11.6
0.005	11.6
0.000	11.7
-0.005	11.6
-0.011	11.6
-0.016	11.6
-0.021	11.6
-0.027	11.6
-0.032	11.6
-0.037	11.4
-0.043	11.3
-0.048	11.0
-0.053	10.7
-0.059	10.4
-0.064	10.2
-0.070	9.9
-0.075	9.9
-0.080	9.8
-0.086	9.8
-0.091	9.8
-0.096	9.9
-0.102	10.0
-0.107	10.0
-0.112	10.0
-0.118	10.0
-0.123	10.0
-0.128	10.0
-0.134	9.9
-0.139	9.8
-0.144	9.8
-0.150	9.7
-0.155	9.6
-0.160	9.5
-0.166	9.2
-0.171	9.1
-0.176	8.9
-0.182	8.8
-0.187	8.6
-0.193	8.6
-0.198	8.4
-0.203	8.4
-0.209	8.3
-0.214	8.4
-0.219	8.4
-0.225	8.4
-0.230	8.4
-0.235	8.4
-0.241	8.3
-0.246	8.3
-0.251	8.1
-0.257	8.0
-0.262	7.8
-0.267	7.5
-0.273	7.3
-0.278	7.1
-0.283	6.9
-0.289	6.8
-0.294	6.7
-0.299	6.7
-0.305	6.7
-0.310	6.7
-0.316	6.7
-0.321	6.8
-0.326	6.8
-0.332	6.9
-0.337	7.0
-0.342	7.4
-0.348	7.3
-0.353	7.4
-0.358	7.4
-0.364	7.4
-0.369	7.3
-0.374	7.2
-0.380	7.0
-0.385	7.0
-0.390	6.9
-0.396	6.8
-0.401	6.8
-0.406	6.8
-0.412	6.7
-0.417	6.7
-0.422	6.7
-0.428	6.8
-0.433	6.8
-0.438	6.8
-0.444	7.0
-0.449	7.1
-0.455	7.3
-0.460	7.7
-0.465	8.0
-0.471	8.2
-0.476	8.4
-0.481	8.4
-0.487	8.4
-0.492	8.5
-0.497	8.5
-0.503	8.6
-0.508	8.6
-0.513	8.8
-0.519	8.9
-0.524	9.2
-0.529	9.4
-0.535	9.7
-0.540	10.0
-0.545	10.4
-0.551	10.6
-0.556	11.1
-0.561	11.5
-0.567	12.0
-0.572	12.6
-0.578	13.3
-0.583	14.0
-0.588	14.9
-0.594	15.8
-0.599	16.7
-0.604	17.6
-0.610	18.4
-0.615	19.2
-0.620	20.1
-0.626	20.9
-0.631	21.9
-0.636	23.0
-0.642	24.1
-0.647	25.3
-0.652	26.5
-0.658	27.9
-0.663	29.4
-0.668	30.9
-0.674	32.5
-0.679	34.1
-0.684	36.8
-0.690	38.1
-0.695	39.5
-0.701	41.2
-0.706	43.2
-0.711	45.2
-0.717	47.3
-0.722	49.3
-0.727	51.2
-0.733	52.9
-0.738	54.4
-0.743	55.5
-0.749	56.0
-0.754	56.2
-0.759	55.5
-0.765	54.2
-0.770	52.2
-0.775	49.6
-0.781	46.4
-0.786	42.7
-0.791	38.7
-0.797	34.9
-0.802	31.1
-0.807	27.6
-0.813	24.5
-0.818	21.6
-0.823	19.3
-0.829	17.3
-0.834	15.7
-0.840	14.3
-0.845	13.2
-0.850	12.3
-0.856	11.7
-0.861	11.2
-0.866	10.9
-0.872	10.5
-0.877	10.2
-0.882	9.8
-0.888	9.4
-0.893	8.8
-0.898	8.4
