&a / 	I1 /
-0.508	18.6
-0.513	19.3
-0.519	20.1
-0.524	21.0
-0.529	21.9
-0.535	22.8
-0.540	23.9
-0.545	24.9
-0.551	26.0
-0.556	27.2
-0.561	28.3
-0.567	29.3
-0.572	30.3
-0.578	31.3
-0.583	32.4
-0.588	33.6
-0.594	34.6
-0.599	35.6
-0.604	36.7
-0.610	37.6
-0.615	38.5
-0.620	39.4
-0.626	40.2
-0.631	40.8
-0.636	41.1
-0.642	41.3
-0.647	41.5
-0.652	41.4
-0.658	41.4
-0.663	41.4
-0.668	41.5
-0.674	41.6
-0.679	41.8
-0.684	42.3
-0.690	42.5
-0.695	42.8
-0.701	43.3
-0.706	43.8
-0.711	44.2
-0.717	44.7
-0.722	45.1
-0.727	45.5
-0.733	45.5
-0.738	45.2
-0.743	44.5
-0.749	43.6
-0.754	42.2
-0.759	40.5
-0.765	38.7
-0.770	37.2
-0.775	35.5
-0.781	34.1
-0.786	32.8
-0.791	31.9
-0.797	31.1
-0.802	30.7
-0.807	30.3
-0.813	30.1
-0.818	29.7
-0.823	29.3
-0.829	28.5
-0.834	27.7
-0.840	26.5
-0.845	25.2
-0.850	23.6
-0.856	22.0
-0.861	20.3
-0.866	18.7
-0.872	17.1
-0.877	15.9
-0.882	14.7
-0.888	13.8
-0.893	13.0
-0.898	12.5
-0.904	12.0
-0.909	11.7
-0.914	11.4
-0.920	11.5
-0.925	11.4
-0.930	11.4
-0.936	11.4
-0.941	11.5
-0.946	11.5
-0.952	11.7
-0.957	11.9
-0.962	12.3
-0.968	12.7
-0.973	13.5
-0.979	14.2
-0.984	15.0
-0.989	15.8
-0.995	16.7
-1.000	17.5
-1.005	18.4
-1.011	19.6
-1.016	20.9
-1.021	22.2
-1.027	24.5
-1.032	25.6
-1.037	27.2
-1.043	28.7
-1.048	30.3
-1.053	31.9
-1.059	33.7
-1.064	35.4
-1.069	37.0
-1.075	38.3
-1.080	39.4
-1.085	40.1
-1.091	40.5
-1.096	40.6
-1.101	40.6
-1.107	40.6
-1.112	41.0
-1.118	41.3
-1.123	41.9
-1.128	42.4
-1.134	43.1
-1.139	43.4
-1.144	43.2
-1.150	42.4
-1.155	41.0
-1.160	39.1
-1.166	37.1
-1.171	34.8
-1.176	33.0
-1.182	31.5
-1.187	30.3
-1.192	29.4
-1.198	28.5
-1.203	27.4
-1.208	26.2
-1.214	24.9
-1.219	23.3
-1.224	21.3
-1.230	19.4
-1.235	17.8
-1.240	16.2
-1.246	15.0
-1.251	14.1
-1.256	13.3
-1.262	12.9
-1.267	12.7
-1.273	12.7
-1.278	12.7
-1.283	12.7
-1.289	12.7
-1.294	13.1
-1.299	13.5
-1.305	13.9
-1.310	14.5
-1.315	15.2
-1.321	16.0
-1.326	17.0
-1.331	18.2
-1.337	19.5
-1.342	21.1
-1.347	22.6
-1.353	24.4
-1.358	26.4
-1.363	28.3
-1.369	31.3
-1.374	32.6
-1.379	34.0
-1.385	35.3
-1.390	36.5
-1.395	37.5
-1.401	38.2
-1.406	38.5
-1.411	38.6
-1.417	38.6
-1.422	38.6
-1.428	38.4
-1.433	38.3
-1.438	38.0
-1.444	37.5
-1.449	36.6
-1.454	35.2
-1.460	33.4
-1.465	31.8
-1.470	30.3
-1.476	29.1
-1.481	28.0
-1.486	26.9
-1.492	25.7
-1.497	24.3
-1.502	22.4
-1.508	20.3
-1.513	18.3
-1.518	16.3
-1.524	14.7
-1.529	13.5
-1.534	12.7
-1.540	12.2
-1.545	11.8
-1.550	11.6
-1.556	11.7
-1.561	11.9
-1.566	12.3
-1.572	13.1
-1.577	14.1
-1.582	15.4
-1.588	16.7
-1.593	18.2
-1.599	19.9
-1.604	21.7
-1.609	23.6
-1.615	25.7
-1.620	27.9
-1.625	30.1
-1.631	32.2
-1.636	34.3
-1.641	35.8
-1.647	36.9
-1.652	37.4
-1.657	37.5
-1.663	37.5
-1.668	37.5
-1.673	37.7
-1.679	38.0
-1.684	38.1
-1.689	38.0
-1.695	37.2
-1.700	35.5
-1.705	33.3
-1.711	30.0
-1.716	28.4
-1.721	26.8
-1.727	25.5
-1.732	24.2
-1.737	22.6
-1.743	20.6
-1.748	18.6
-1.753	16.6
-1.759	14.9
-1.764	13.7
-1.769	13.0
-1.775	12.6
-1.780	12.6
-1.786	12.8
-1.791	13.2
-1.796	13.9
-1.802	14.7
-1.807	15.7
-1.812	16.9
-1.818	18.3
-1.823	19.9
-1.828	21.7
-1.834	23.5
-1.839	25.5
-1.844	27.7
-1.850	29.8
-1.855	31.8
-1.860	33.8
-1.866	35.1
-1.871	36.0
-1.876	36.1
-1.882	35.9
-1.887	35.7
-1.892	35.7
-1.898	35.8
-1.903	35.8
-1.908	35.2
-1.914	33.7
-1.919	31.6
-1.924	29.2
-1.930	27.1
-1.935	25.5
-1.940	24.0
-1.946	22.4
-1.951	20.5
-1.956	18.5
-1.962	16.6
-1.967	14.9
-1.972	13.7
-1.978	13.1
-1.983	12.9
-1.989	13.0
-1.994	13.4
-1.999	14.1
-2.005	15.0
-2.010	16.1
-2.015	17.3
-2.021	18.9
-2.026	20.5
-2.031	22.3
-2.037	24.3
-2.042	26.6
-2.047	28.8
-2.053	32.1
-2.058	33.3
-2.063	34.3
-2.069	34.8
-2.074	35.0
-2.079	34.9
-2.085	34.8
-2.090	34.9
-2.095	34.9
-2.101	34.4
-2.106	32.9
-2.111	30.8
-2.117	28.2
-2.122	25.9
-2.127	23.9
-2.133	22.0
-2.138	20.3
-2.143	18.4
-2.149	16.4
-2.154	14.6
-2.159	13.4
-2.165	12.6
-2.170	12.3
-2.175	12.3
-2.181	12.8
-2.186	13.7
-2.191	14.9
-2.197	16.1
-2.202	17.7
-2.207	19.3
-2.213	21.2
-2.218	23.2
-2.223	25.5
-2.229	27.7
-2.234	29.8
-2.240	31.7
-2.245	33.0
-2.250	33.6
-2.256	33.6
-2.261	33.4
-2.266	33.2
-2.272	33.1
-2.277	32.6
-2.282	31.4
-2.288	29.4
-2.293	27.0
-2.298	25.1
-2.304	23.4
-2.309	21.8
-2.314	20.2
-2.320	18.3
-2.325	16.6
-2.330	15.3
-2.336	14.3
-2.341	13.9
-2.346	14.0
-2.352	14.4
-2.357	15.2
-2.362	16.1
-2.368	17.3
-2.373	18.5
-2.378	20.1
-2.384	22.0
-2.389	23.8
-2.394	27.0
-2.400	28.5
-2.405	30.0
-2.410	31.0
-2.416	31.6
-2.421	31.6
-2.426	31.3
-2.432	31.1
-2.437	31.1
-2.442	30.6
-2.448	29.2
-2.453	27.0
-2.458	24.7
-2.464	22.6
-2.469	20.9
-2.474	19.2
-2.480	17.6
-2.485	15.9
-2.490	14.6
-2.496	13.8
-2.501	13.6
-2.506	13.9
-2.512	14.7
-2.517	15.5
-2.522	16.6
-2.528	17.8
-2.533	19.4
-2.538	21.0
-2.544	22.9
-2.549	24.8
-2.554	26.8
-2.560	28.5
-2.565	30.0
-2.570	30.8
-2.576	30.8
-2.581	30.5
-2.586	30.3
-2.592	30.1
-2.597	29.4
-2.602	27.9
-2.608	25.9
-2.613	23.8
-2.619	21.9
-2.624	20.3
-2.629	18.8
-2.635	17.2
-2.640	16.0
-2.645	15.0
-2.651	14.7
-2.656	14.7
-2.661	15.4
-2.667	16.2
-2.672	17.2
-2.677	18.4
-2.683	20.0
-2.688	21.7
-2.693	23.4
-2.699	25.2
-2.704	26.8
-2.709	28.3
-2.715	29.2
-2.720	29.3
-2.725	28.9
-2.731	28.5
-2.736	27.9
-2.741	27.1
-2.747	25.8
-2.752	23.9
-2.757	21.7
-2.763	19.9
-2.768	18.4
-2.773	16.9
-2.779	15.6
-2.784	14.3
-2.789	13.7
-2.795	13.7
-2.800	14.1
-2.805	14.9
-2.811	16.1
-2.816	17.3
-2.821	18.9
-2.827	20.5
-2.832	22.1
-2.837	23.7
-2.843	25.4
-2.848	26.8
-2.853	27.8
-2.859	28.1
-2.864	27.7
-2.869	27.3
-2.875	26.9
-2.880	26.0
-2.885	24.6
-2.891	22.5
-2.896	20.5
-2.901	18.9
-2.907	17.7
-2.912	16.4
-2.917	15.3
-2.923	14.6
-2.928	14.5
-2.933	14.8
-2.939	15.6
-2.944	16.4
-2.949	17.6
-2.955	19.1
-2.960	20.7
-2.965	22.3
-2.971	23.8
-2.976	25.1
-2.981	26.3
-2.987	27.1
-2.992	27.1
-2.997	26.7
-3.003	26.1
-3.008	25.4
-3.013	24.5
-3.019	22.9
-3.024	21.0
-3.029	19.2
-3.035	17.9
-3.040	16.6
-3.045	15.5
-3.051	14.5
-3.056	14.0
-3.061	14.1
-3.067	14.7
-3.072	15.5
-3.077	17.0
-3.083	18.0
-3.088	19.4
-3.093	20.9
-3.099	22.3
-3.104	23.5
-3.109	24.4
-3.115	24.8
-3.120	24.8
-3.125	24.4
-3.131	24.0
-3.136	23.2
-3.141	21.9
-3.147	20.2
-3.152	18.5
-3.157	16.9
-3.163	15.4
-3.168	14.1
-3.173	13.0
-3.179	12.3
-3.184	12.2
-3.189	12.5
-3.195	13.3
-3.200	14.4
-3.205	15.6
-3.211	16.8
-3.216	18.3
-3.221	19.7
-3.227	20.9
-3.232	21.8
-3.237	22.1
-3.243	22.0
-3.248	21.7
-3.253	21.2
-3.259	20.3
-3.264	18.8
-3.269	17.2
-3.275	15.6
-3.280	14.1
-3.285	12.8
-3.291	11.6
-3.296	10.8
-3.301	10.4
-3.306	10.5
-3.312	10.9
-3.317	11.7
-3.322	12.8
-3.328	14.0
-3.333	15.5
-3.338	16.8
-3.344	18.1
-3.349	19.0
-3.354	19.4
-3.360	19.4
-3.365	19.0
-3.370	18.6
-3.376	17.8
-3.381	16.6
-3.386	15.1
-3.392	13.6
-3.397	12.3
-3.402	11.1
-3.408	9.9
-3.413	9.1
