&a 	I1
0.305	31.3
0.299	30.4
0.294	29.6
0.289	28.8
0.283	28.0
0.278	27.2
0.273	26.5
0.267	25.9
0.262	25.4
0.257	24.9
0.251	24.5
0.246	24.3
0.241	24.1
0.235	23.9
0.230	23.6
0.225	23.4
0.219	23.3
0.214	23.1
0.209	22.8
0.203	22.7
0.198	22.7
0.193	22.7
0.187	22.8
0.182	22.8
0.176	22.8
0.171	22.8
0.166	22.8
0.160	22.8
0.155	22.8
0.150	22.8
0.144	22.8
0.139	22.8
0.134	22.9
0.128	22.9
0.123	22.9
0.118	23.0
0.112	23.1
0.107	23.2
0.102	23.2
0.096	23.2
0.091	23.3
0.086	23.3
0.080	23.4
0.075	23.4
0.070	23.5
0.064	23.5
0.059	23.6
0.053	23.5
0.048	23.6
0.043	23.6
0.037	23.7
0.032	23.7
0.027	23.8
0.021	23.9
0.016	24.0
0.011	24.0
0.005	24.1
0.000	24.4
-0.005	24.4
-0.011	24.1
-0.016	23.9
-0.021	23.9
-0.027	24.1
-0.032	24.1
-0.037	24.1
-0.043	24.2
-0.048	24.2
-0.053	24.2
-0.059	24.2
-0.064	24.2
-0.070	24.2
-0.075	24.1
-0.080	24.1
-0.086	24.1
-0.091	24.1
-0.096	24.0
-0.102	24.0
-0.107	24.0
-0.112	23.6
-0.118	23.2
-0.123	23.1
-0.128	23.2
-0.134	24.0
-0.139	24.4
-0.144	24.8
-0.150	24.9
-0.155	25.0
-0.160	25.1
-0.166	25.4
-0.171	25.7
-0.176	26.1
-0.182	26.4
-0.187	26.9
-0.193	27.5
-0.198	28.0
-0.203	28.3
-0.209	28.7
-0.214	29.4
-0.219	30.4
-0.225	31.3
-0.230	32.1
-0.235	32.9
-0.241	33.7
-0.246	34.5
-0.251	35.3
-0.257	36.0
-0.262	36.9
-0.267	37.7
-0.273	38.5
-0.278	38.6
-0.283	38.7
-0.289	39.1
-0.294	40.3
-0.299	41.0
-0.305	41.1
-0.310	41.1
-0.316	41.1
-0.321	41.1
-0.326	40.8
-0.332	40.3
-0.337	39.9
-0.342	39.2
-0.348	38.4
-0.353	37.4
-0.358	36.3
-0.364	35.1
-0.369	34.0
-0.374	32.8
-0.380	31.7
-0.385	30.6
-0.390	29.7
-0.396	28.6
-0.401	27.5
-0.406	26.7
-0.412	25.9
-0.417	25.3
-0.422	24.7
-0.428	24.2
-0.433	23.9
