&a / °	I1 / %
-2.933	20.1
-2.939	18.6
-2.944	17.6
-2.949	17.1
-2.955	16.4
-2.960	15.4
-2.965	14.0
-2.971	12.2
-2.976	10.8
-2.981	10.1
-2.987	10.3
-2.992	11.3
-2.997	13.1
-3.003	15.4
-3.008	17.4
-3.013	18.6
-3.019	19.0
-3.024	19.5
-3.029	20.7
-3.035	22.5
-3.040	24.3
-3.045	24.3
-3.051	23.4
-3.056	21.5
-3.061	19.6
-3.067	18.4
-3.072	17.9
-3.077	16.9
-3.083	16.0
-3.088	14.3
-3.093	12.6
-3.099	11.0
-3.104	10.2
-3.109	10.2
-3.115	11.2
-3.120	12.8
-3.125	14.9
-3.131	16.9
-3.136	18.2
-3.141	18.9
-3.147	19.6
-3.152	21.0
-3.157	22.7
-3.163	24.3
-3.168	25.1
-3.173	24.1
-3.179	21.9
-3.184	19.9
-3.189	18.7
-3.195	17.9
-3.200	17.0
-3.205	15.5
-3.211	13.6
-3.216	11.6
-3.221	10.4
-3.227	10.1
-3.232	10.8
-3.237	12.6
-3.243	15.1
-3.248	17.4
-3.253	18.7
-3.259	18.9
-3.264	19.2
-3.269	20.4
-3.275	22.6
-3.280	23.2
-3.285	21.7
-3.291	19.0
-3.296	16.8
-3.301	15.6
-3.306	15.6
-3.312	15.9
-3.317	15.6
-3.322	14.3
-3.328	12.4
-3.333	10.7
-3.338	9.9
-3.344	10.1
-3.349	11.4
-3.354	13.6
-3.360	16.3
-3.365	18.1
-3.370	18.5
-3.376	18.3
-3.381	19.0
-3.386	20.9
-3.392	23.3
-3.397	24.2
-3.402	22.8
-3.408	20.0
-3.413	18.2
